Zone,Calibration,Calibration period,Test week,Test period,Model,Dataset,Training samples,Test samples,price_values,buy_volume_values,sell_volume_values,flow_values,capacity_values,total_raw_values,Raw values used (%),Raw value reduction (%),RMSE
NO4,cal_2020,2020-01-01 to 2020-12-31,winter_january,2024-01-15 to 2024-01-21,Linear Regression,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,4.980753744945404
NO4,cal_2020,2020-01-01 to 2020-12-31,winter_january,2024-01-15 to 2024-01-21,Linear Regression,own_events,8758,168,8625,4914,5155,4815,16444,39953,33.485873291259125,66.51412670874087,4.980743666135364
NO4,cal_2020,2020-01-01 to 2020-12-31,winter_january,2024-01-15 to 2024-01-21,Linear Regression,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,5.004729818898036
NO4,cal_2020,2020-01-01 to 2020-12-31,winter_january,2024-01-15 to 2024-01-21,Decision Tree,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,18.85263140026574
NO4,cal_2020,2020-01-01 to 2020-12-31,winter_january,2024-01-15 to 2024-01-21,Decision Tree,own_events,8758,168,8625,4914,5155,4815,16444,39953,33.485873291259125,66.51412670874087,18.85263140026574
NO4,cal_2020,2020-01-01 to 2020-12-31,winter_january,2024-01-15 to 2024-01-21,Decision Tree,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,23.624260016125874
NO4,cal_2020,2020-01-01 to 2020-12-31,winter_january,2024-01-15 to 2024-01-21,Random Forest,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,9.872479884107808
NO4,cal_2020,2020-01-01 to 2020-12-31,winter_january,2024-01-15 to 2024-01-21,Random Forest,own_events,8758,168,8625,4914,5155,4815,16444,39953,33.485873291259125,66.51412670874087,9.93428253820647
NO4,cal_2020,2020-01-01 to 2020-12-31,winter_january,2024-01-15 to 2024-01-21,Random Forest,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,17.814092568432482
NO4,cal_2020,2020-01-01 to 2020-12-31,winter_january,2024-01-15 to 2024-01-21,XGBoost,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,6.5384779188754925
NO4,cal_2020,2020-01-01 to 2020-12-31,winter_january,2024-01-15 to 2024-01-21,XGBoost,own_events,8758,168,8625,4914,5155,4815,16444,39953,33.485873291259125,66.51412670874087,6.607745113510758
NO4,cal_2020,2020-01-01 to 2020-12-31,winter_january,2024-01-15 to 2024-01-21,XGBoost,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,23.199730359675254
NO4,cal_2020,2020-01-01 to 2020-12-31,winter_january,2024-01-15 to 2024-01-21,ARIMA,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,29.088343072928982
NO4,cal_2020,2020-01-01 to 2020-12-31,winter_january,2024-01-15 to 2024-01-21,ARIMA,own_events,8758,168,8625,4914,5155,4815,16444,39953,33.485873291259125,66.51412670874087,29.083475658220692
NO4,cal_2020,2020-01-01 to 2020-12-31,winter_january,2024-01-15 to 2024-01-21,ARIMA,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,18.3042824917765
NO4,cal_2020,2020-01-01 to 2020-12-31,spring_april,2024-04-10 to 2024-04-16,Linear Regression,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,2.4498049064821052
NO4,cal_2020,2020-01-01 to 2020-12-31,spring_april,2024-04-10 to 2024-04-16,Linear Regression,own_events,8758,168,8625,4914,5155,4815,16444,39953,33.485873291259125,66.51412670874087,2.4498153911608322
NO4,cal_2020,2020-01-01 to 2020-12-31,spring_april,2024-04-10 to 2024-04-16,Linear Regression,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,2.5163191538326037
NO4,cal_2020,2020-01-01 to 2020-12-31,spring_april,2024-04-10 to 2024-04-16,Decision Tree,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,3.6661958842790656
NO4,cal_2020,2020-01-01 to 2020-12-31,spring_april,2024-04-10 to 2024-04-16,Decision Tree,own_events,8758,168,8625,4914,5155,4815,16444,39953,33.485873291259125,66.51412670874087,3.552448267107656
NO4,cal_2020,2020-01-01 to 2020-12-31,spring_april,2024-04-10 to 2024-04-16,Decision Tree,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,3.9559205929966836
NO4,cal_2020,2020-01-01 to 2020-12-31,spring_april,2024-04-10 to 2024-04-16,Random Forest,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,2.738669232363709
NO4,cal_2020,2020-01-01 to 2020-12-31,spring_april,2024-04-10 to 2024-04-16,Random Forest,own_events,8758,168,8625,4914,5155,4815,16444,39953,33.485873291259125,66.51412670874087,2.7312813836440606
NO4,cal_2020,2020-01-01 to 2020-12-31,spring_april,2024-04-10 to 2024-04-16,Random Forest,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,2.6952899415467253
NO4,cal_2020,2020-01-01 to 2020-12-31,spring_april,2024-04-10 to 2024-04-16,XGBoost,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,2.444333267793782
NO4,cal_2020,2020-01-01 to 2020-12-31,spring_april,2024-04-10 to 2024-04-16,XGBoost,own_events,8758,168,8625,4914,5155,4815,16444,39953,33.485873291259125,66.51412670874087,2.443766417462531
NO4,cal_2020,2020-01-01 to 2020-12-31,spring_april,2024-04-10 to 2024-04-16,XGBoost,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,2.4640558403626183
NO4,cal_2020,2020-01-01 to 2020-12-31,spring_april,2024-04-10 to 2024-04-16,ARIMA,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,7.15321456722428
NO4,cal_2020,2020-01-01 to 2020-12-31,spring_april,2024-04-10 to 2024-04-16,ARIMA,own_events,8758,168,8625,4914,5155,4815,16444,39953,33.485873291259125,66.51412670874087,7.157441748986109
NO4,cal_2020,2020-01-01 to 2020-12-31,spring_april,2024-04-10 to 2024-04-16,ARIMA,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,20.18149420601895
NO4,cal_2020,2020-01-01 to 2020-12-31,summer_june,2024-06-24 to 2024-06-30,Linear Regression,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,4.0412116841554635
NO4,cal_2020,2020-01-01 to 2020-12-31,summer_june,2024-06-24 to 2024-06-30,Linear Regression,own_events,8758,168,8625,4914,5155,4815,16444,39953,33.485873291259125,66.51412670874087,4.041194562506332
NO4,cal_2020,2020-01-01 to 2020-12-31,summer_june,2024-06-24 to 2024-06-30,Linear Regression,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,4.140414622258305
NO4,cal_2020,2020-01-01 to 2020-12-31,summer_june,2024-06-24 to 2024-06-30,Decision Tree,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,6.33977152397391
NO4,cal_2020,2020-01-01 to 2020-12-31,summer_june,2024-06-24 to 2024-06-30,Decision Tree,own_events,8758,168,8625,4914,5155,4815,16444,39953,33.485873291259125,66.51412670874087,6.272983123036819
NO4,cal_2020,2020-01-01 to 2020-12-31,summer_june,2024-06-24 to 2024-06-30,Decision Tree,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,7.893581931815602
NO4,cal_2020,2020-01-01 to 2020-12-31,summer_june,2024-06-24 to 2024-06-30,Random Forest,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,3.971899347111124
NO4,cal_2020,2020-01-01 to 2020-12-31,summer_june,2024-06-24 to 2024-06-30,Random Forest,own_events,8758,168,8625,4914,5155,4815,16444,39953,33.485873291259125,66.51412670874087,4.0297832974366194
NO4,cal_2020,2020-01-01 to 2020-12-31,summer_june,2024-06-24 to 2024-06-30,Random Forest,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,4.365892997088209
NO4,cal_2020,2020-01-01 to 2020-12-31,summer_june,2024-06-24 to 2024-06-30,XGBoost,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,3.8111175912869157
NO4,cal_2020,2020-01-01 to 2020-12-31,summer_june,2024-06-24 to 2024-06-30,XGBoost,own_events,8758,168,8625,4914,5155,4815,16444,39953,33.485873291259125,66.51412670874087,3.794180442503867
NO4,cal_2020,2020-01-01 to 2020-12-31,summer_june,2024-06-24 to 2024-06-30,XGBoost,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,3.837047247563856
NO4,cal_2020,2020-01-01 to 2020-12-31,summer_june,2024-06-24 to 2024-06-30,ARIMA,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,14.244774813224618
NO4,cal_2020,2020-01-01 to 2020-12-31,summer_june,2024-06-24 to 2024-06-30,ARIMA,own_events,8758,168,8625,4914,5155,4815,16444,39953,33.485873291259125,66.51412670874087,14.250254960222048
NO4,cal_2020,2020-01-01 to 2020-12-31,summer_june,2024-06-24 to 2024-06-30,ARIMA,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,21.28046076335473
NO4,cal_2020,2020-01-01 to 2020-12-31,autumn_september,2024-09-16 to 2024-09-22,Linear Regression,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,1.2977719015092657
NO4,cal_2020,2020-01-01 to 2020-12-31,autumn_september,2024-09-16 to 2024-09-22,Linear Regression,own_events,8758,168,8625,4914,5155,4815,16444,39953,33.485873291259125,66.51412670874087,1.2977931390302757
NO4,cal_2020,2020-01-01 to 2020-12-31,autumn_september,2024-09-16 to 2024-09-22,Linear Regression,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,1.3727755144791292
NO4,cal_2020,2020-01-01 to 2020-12-31,autumn_september,2024-09-16 to 2024-09-22,Decision Tree,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,2.729504032219913
NO4,cal_2020,2020-01-01 to 2020-12-31,autumn_september,2024-09-16 to 2024-09-22,Decision Tree,own_events,8758,168,8625,4914,5155,4815,16444,39953,33.485873291259125,66.51412670874087,2.600235108417625
NO4,cal_2020,2020-01-01 to 2020-12-31,autumn_september,2024-09-16 to 2024-09-22,Decision Tree,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,3.107456949094579
NO4,cal_2020,2020-01-01 to 2020-12-31,autumn_september,2024-09-16 to 2024-09-22,Random Forest,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,1.4062696624128048
NO4,cal_2020,2020-01-01 to 2020-12-31,autumn_september,2024-09-16 to 2024-09-22,Random Forest,own_events,8758,168,8625,4914,5155,4815,16444,39953,33.485873291259125,66.51412670874087,1.3946900755900613
NO4,cal_2020,2020-01-01 to 2020-12-31,autumn_september,2024-09-16 to 2024-09-22,Random Forest,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,1.409825401344714
NO4,cal_2020,2020-01-01 to 2020-12-31,autumn_september,2024-09-16 to 2024-09-22,XGBoost,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,1.4794575881508178
NO4,cal_2020,2020-01-01 to 2020-12-31,autumn_september,2024-09-16 to 2024-09-22,XGBoost,own_events,8758,168,8625,4914,5155,4815,16444,39953,33.485873291259125,66.51412670874087,1.482777306011718
NO4,cal_2020,2020-01-01 to 2020-12-31,autumn_september,2024-09-16 to 2024-09-22,XGBoost,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,1.5332076396258125
NO4,cal_2020,2020-01-01 to 2020-12-31,autumn_september,2024-09-16 to 2024-09-22,ARIMA,full_dataset,8764,168,8760,8760,8760,22961,70072,119313,100.0,0.0,13.94812862082327
NO4,cal_2020,2020-01-01 to 2020-12-31,autumn_september,2024-09-16 to 2024-09-22,ARIMA,own_events,8758,168,8625,4914,5155,4815,16444,39953,33.485873291259125,66.51412670874087,13.956409348551006
NO4,cal_2020,2020-01-01 to 2020-12-31,autumn_september,2024-09-16 to 2024-09-22,ARIMA,rbatheta_events,3556,168,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,26.030214383472696
NO4,cal_2020,2020-01-01 to 2020-12-31,winter_december,2024-12-02 to 2024-12-08,Linear Regression,full_dataset,8764,167,8760,8760,8760,22961,70072,119313,100.0,0.0,1.511094363732287
NO4,cal_2020,2020-01-01 to 2020-12-31,winter_december,2024-12-02 to 2024-12-08,Linear Regression,own_events,8758,167,8625,4914,5155,4815,16444,39953,33.485873291259125,66.51412670874087,1.5117144014840411
NO4,cal_2020,2020-01-01 to 2020-12-31,winter_december,2024-12-02 to 2024-12-08,Linear Regression,rbatheta_events,3556,167,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,2.201012158607709
NO4,cal_2020,2020-01-01 to 2020-12-31,winter_december,2024-12-02 to 2024-12-08,Decision Tree,full_dataset,8764,167,8760,8760,8760,22961,70072,119313,100.0,0.0,2.0290539372425567
NO4,cal_2020,2020-01-01 to 2020-12-31,winter_december,2024-12-02 to 2024-12-08,Decision Tree,own_events,8758,167,8625,4914,5155,4815,16444,39953,33.485873291259125,66.51412670874087,2.0283402258635723
NO4,cal_2020,2020-01-01 to 2020-12-31,winter_december,2024-12-02 to 2024-12-08,Decision Tree,rbatheta_events,3556,167,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,2.573113982874112
NO4,cal_2020,2020-01-01 to 2020-12-31,winter_december,2024-12-02 to 2024-12-08,Random Forest,full_dataset,8764,167,8760,8760,8760,22961,70072,119313,100.0,0.0,1.2216690627425575
NO4,cal_2020,2020-01-01 to 2020-12-31,winter_december,2024-12-02 to 2024-12-08,Random Forest,own_events,8758,167,8625,4914,5155,4815,16444,39953,33.485873291259125,66.51412670874087,1.2114231988910322
NO4,cal_2020,2020-01-01 to 2020-12-31,winter_december,2024-12-02 to 2024-12-08,Random Forest,rbatheta_events,3556,167,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,1.1623847874077695
NO4,cal_2020,2020-01-01 to 2020-12-31,winter_december,2024-12-02 to 2024-12-08,XGBoost,full_dataset,8764,167,8760,8760,8760,22961,70072,119313,100.0,0.0,4.280278195730033
NO4,cal_2020,2020-01-01 to 2020-12-31,winter_december,2024-12-02 to 2024-12-08,XGBoost,own_events,8758,167,8625,4914,5155,4815,16444,39953,33.485873291259125,66.51412670874087,4.30165062165227
NO4,cal_2020,2020-01-01 to 2020-12-31,winter_december,2024-12-02 to 2024-12-08,XGBoost,rbatheta_events,3556,167,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,9.241838943900927
NO4,cal_2020,2020-01-01 to 2020-12-31,winter_december,2024-12-02 to 2024-12-08,ARIMA,full_dataset,8764,167,8760,8760,8760,22961,70072,119313,100.0,0.0,20.36667463172153
NO4,cal_2020,2020-01-01 to 2020-12-31,winter_december,2024-12-02 to 2024-12-08,ARIMA,own_events,8758,167,8625,4914,5155,4815,16444,39953,33.485873291259125,66.51412670874087,20.374763366500495
NO4,cal_2020,2020-01-01 to 2020-12-31,winter_december,2024-12-02 to 2024-12-08,ARIMA,rbatheta_events,3556,167,1306,1831,1940,5914,0,10991,9.211904821771308,90.78809517822869,32.77152028679108
